rtt,thput,total_time,total_data
0.056653,8675974793.920887,5627999,491520000
0.002214,222005420054.200562,5608000,491520000
0.002227,220709474629.546509,5616000,491520000
0.016584,29638205499.276409,5636000,491520000
0.131385,3741066331.773034,5760000,491520000
