rtt,thput,total_time,payload_size
1.038857,551991.275026,2816000,573440
1.534400,266944.734098,2960000,409600
1.995000,164250.626566,3156000,327680
1.160000,635586.206897,3420000,737280
1.423500,460386.371619,3584000,655360
2.170400,188720.973093,3708000,409600
1.201200,681984.681985,3828000,819200
3.236000,227836.835600,6732000,737280
1.021333,240626.710387,1880000,245760
1.182666,207801.695491,2048000,245760
1.356000,181238.938053,2228000,245760
1.522666,161401.121454,2400000,245760
1.296000,252839.506173,2580000,327680
0.480666,1022581.168629,1240000,491520
0.980000,250775.510204,1548000,245760
2.693600,152064.152064,4372000,409600
0.676800,1210401.891253,2468000,819200
3.058400,267852.471881,6080000,819200
3.753200,218267.078759,6136000,819200
0.532000,307969.924812,688000,163840
0.852000,96150.234742,852000,81920
0.523000,626539.196941,1076000,327680
1.122400,364932.287954,2580000,409600
1.088000,451764.705882,2784000,491520
1.719000,190622.454916,2948000,327680
0.570400,718092.566620,1352000,409600
1.018666,241256.702393,1604000,245760
0.828000,791497.584541,2652000,655360
1.373600,298194.525335,2840000,409600
1.797000,182348.358375,3012000,327680
