rtt,thput,total_time,payload_size
0.686799,1192779.838060,2395999,819200
2.273999,360246.420513,5051999,819200
2.945599,278109.817392,5935999,819200
3.650799,224389.236438,6687999,819200
0.847600,966493.629070,2656000,819200
1.630400,502453.385672,3984000,819200
2.478800,330482.491528,4248000,819200
2.922400,280317.547221,4276000,819200
0.772000,1061139.896373,2544000,819200
1.828800,447944.006999,3580000,819200
2.212400,370276.622672,3624000,819200
2.606400,314303.253530,3656000,819200
1.118800,732213.085449,3360000,819200
2.632800,311151.625646,5764000,819200
3.378000,242510.361160,6716000,819200
2.320800,352981.730438,4256000,819200
2.597600,315368.032030,4312000,819200
2.670400,306770.521270,4332000,819200
2.817200,290785.176771,4356000,819200
3.282800,249543.072986,4396000,819200
2.086000,392713.326942,5344000,819200
2.818800,290620.122038,6400000,819200
3.642800,224881.958933,7340000,819200
1.359600,602530.155928,4092000,819200
2.339200,350205.198358,4640000,819200
2.875600,284879.677285,4716000,819200
3.364800,243461.721350,4740000,819200
1.876400,436580.686421,5044000,819200
2.836888,259890.415131,6124000,737280
3.271500,200324.010393,6244000,655360
0.898000,912249.443207,2928000,819200
2.250399,364024.335240,4855999,819200
2.818399,290661.471282,4915999,819200
1.625000,403298.461538,4100000,655360
1.995428,287376.943693,4232000,573440
2.432666,202049.932050,4376000,491520
1.691200,484389.782403,4720000,819200
2.300000,356173.913043,5100000,819200
3.344000,244976.076555,5180000,819200
