rtt,thput,total_time,payload_size
0.020000,4096000.000000,36000,81920
0.034000,2409411.764706,36000,81920
0.016800,4876190.476190,28000,81920
0.032800,2497560.975610,68000,81920
0.068000,1204705.882353,68000,81920
0.059200,1383783.783784,68000,81920
0.058400,1402739.726027,76000,81920
0.073600,1113043.478261,100000,81920
0.073600,1113043.478261,188000,81920
0.135600,604129.793510,184000,81920
0.115600,708650.519031,184000,81920
0.194400,421399.176955,232000,81920
0.214000,382803.738318,236000,81920
0.220400,371687.840290,232000,81920
0.246400,332467.532468,260000,81920
0.220000,372363.636364,232000,81920
0.215600,379962.894249,228000,81920
0.213600,383520.599251,228000,81920
0.208800,392337.164751,228000,81920
0.218800,374405.850091,236000,81920
0.207200,395366.795367,224000,81920
0.207200,395366.795367,224000,81920
0.211200,387878.787879,228000,81920
0.211600,387145.557656,232000,81920
0.210400,389353.612167,228000,81920
0.207600,394605.009634,224000,81920
0.204000,401568.627451,220000,81920
0.187200,437606.837607,200000,81920
0.199200,411244.979920,212000,81920
0.202400,404743.083004,216000,81920
0.202000,405544.554455,216000,81920
0.201600,406349.206349,216000,81920
0.193600,423140.495868,212000,81920
0.184400,444251.626898,196000,81920
0.171600,477389.277389,184000,81920
0.172800,474074.074074,184000,81920
0.172800,474074.074074,184000,81920
0.172000,476279.069767,180000,81920
0.158000,518481.012658,164000,81920
0.160000,512000.000000,164000,81920
0.112800,726241.134752,192000,81920
0.149600,547593.582888,240000,81920
0.061200,1338562.091503,264000,81920
0.164800,497087.378641,248000,81920
0.285600,286834.733894,400000,81920
0.307200,266666.666667,400000,81920
0.342000,239532.163743,392000,81920
0.356400,229854.096521,392000,81920
0.360000,227555.555556,372000,81920
0.360000,227555.555556,372000,81920
0.357200,229339.305711,372000,81920
0.358400,228571.428571,376000,81920
0.349200,234593.356243,368000,81920
0.342800,238973.162194,360000,81920
0.342800,238973.162194,356000,81920
0.350400,233789.954338,364000,81920
0.346400,236489.607390,360000,81920
0.332400,246450.060168,344000,81920
0.326000,251288.343558,336000,81920
0.327200,250366.748166,336000,81920
0.300800,272340.425532,308000,81920
0.314400,260559.796438,324000,81920
0.288000,284444.444444,300000,81920
0.290800,281705.639615,304000,81920
0.286400,286033.519553,300000,81920
0.290800,281705.639615,304000,81920
0.290800,281705.639615,308000,81920
0.290400,282093.663912,308000,81920
0.285200,287237.026648,304000,81920
0.290000,282482.758621,308000,81920
0.286000,286433.566434,304000,81920
0.285600,286834.733894,300000,81920
0.277600,295100.864553,292000,81920
0.279200,293409.742120,296000,81920
0.276800,295953.757225,292000,81920
0.267600,306128.550075,280000,81920
0.259600,315562.403698,272000,81920
0.234400,349488.054608,244000,81920
0.232800,351890.034364,240000,81920
0.235600,347707.979626,240000,81920
0.048000,1706666.666667,48000,81920
0.042000,1950476.190476,64000,81920
0.046800,1750427.350427,72000,81920
0.054000,1517037.037037,72000,81920
0.043600,1878899.082569,52000,81920
0.043600,1878899.082569,52000,81920
0.038800,2111340.206186,48000,81920
0.020000,4096000.000000,28000,81920
0.025200,3250793.650794,40000,81920
0.138000,593623.188406,308000,81920
0.161200,508188.585608,308000,81920
0.204400,400782.778865,316000,81920
0.215600,379962.894249,316000,81920
0.268800,304761.904762,324000,81920
0.290800,281705.639615,320000,81920
0.298800,274163.319946,320000,81920
0.288000,284444.444444,312000,81920
0.304400,269119.579501,328000,81920
0.306800,267014.341591,356000,81920
0.307600,266319.895969,328000,81920
0.283600,288857.545839,304000,81920
0.304800,268766.404199,328000,81920
0.318000,257610.062893,340000,81920
0.322800,253779.429988,344000,81920
0.308400,265629.053178,328000,81920
0.297200,275639.300135,316000,81920
0.290400,282093.663912,312000,81920
0.294000,278639.455782,312000,81920
0.302000,271258.278146,320000,81920
0.302000,271258.278146,320000,81920
0.298400,274530.831099,316000,81920
0.302800,270541.611625,320000,81920
0.303200,270184.696570,320000,81920
0.303200,270184.696570,316000,81920
0.306400,267362.924282,320000,81920
0.290000,282482.758621,300000,81920
0.285200,287237.026648,296000,81920
0.275600,297242.380261,284000,81920
0.268800,304761.904762,276000,81920
0.269200,304309.063893,276000,81920
0.106800,767041.198502,144000,81920
0.105600,775757.575758,124000,81920
0.124000,660645.161290,264000,81920
0.179600,456124.721604,260000,81920
0.182000,450109.890110,256000,81920
0.198400,412903.225806,260000,81920
0.144400,567313.019391,244000,81920
0.264000,310303.030303,264000,81920
0.150000,546133.333333,208000,81920
0.194400,421399.176955,228000,81920
0.197200,415415.821501,224000,81920
0.220800,371014.492754,224000,81920
0.205600,398443.579767,212000,81920
0.202800,403944.773176,212000,81920
0.200400,408782.435130,208000,81920
0.220400,371687.840290,228000,81920
0.235600,347707.979626,244000,81920
0.200000,409600.000000,208000,81920
0.194000,422268.041237,204000,81920
0.195200,419672.131148,204000,81920
0.189600,432067.510549,204000,81920
0.193200,424016.563147,208000,81920
0.196400,417107.942974,208000,81920
0.194000,422268.041237,208000,81920
0.194000,422268.041237,208000,81920
0.193600,423140.495868,204000,81920
0.192400,425779.625780,204000,81920
0.190800,429350.104822,200000,81920
0.182000,450109.890110,192000,81920
0.171600,477389.277389,184000,81920
0.174800,468649.885584,188000,81920
0.174000,470804.597701,188000,81920
0.179600,456124.721604,192000,81920
0.179200,457142.857143,192000,81920
0.170000,481882.352941,180000,81920
0.168800,485308.056872,180000,81920
0.171200,478504.672897,180000,81920
0.165600,494685.990338,172000,81920
0.159200,514572.864322,164000,81920
0.123200,664935.064935,124000,81920
0.016800,4876190.476190,24000,81920
0.026400,3103030.303030,72000,81920
0.022000,3723636.363636,40000,81920
0.089600,914285.714286,132000,81920
0.074000,1107027.027027,164000,81920
0.165200,495883.777240,344000,81920
0.195200,419672.131148,344000,81920
0.233200,351286.449400,356000,81920
0.303200,270184.696570,360000,81920
0.322800,253779.429988,360000,81920
0.340000,240941.176471,364000,81920
0.337600,242654.028436,356000,81920
0.336800,243230.403800,356000,81920
0.339200,241509.433962,356000,81920
0.338800,241794.569067,356000,81920
0.391600,209193.054137,444000,81920
0.334400,244976.076555,352000,81920
0.334400,244976.076555,352000,81920
0.317200,258259.773014,332000,81920
0.322000,254409.937888,340000,81920
0.326400,250980.392157,344000,81920
0.322000,254409.937888,340000,81920
0.326000,251288.343558,344000,81920
0.326400,250980.392157,344000,81920
0.326000,251288.343558,344000,81920
0.326000,251288.343558,344000,81920
0.329200,248845.686513,348000,81920
0.320800,255361.596010,336000,81920
0.329600,248543.689320,344000,81920
0.321600,254726.368159,336000,81920
0.324400,252527.743527,340000,81920
0.313200,261558.109834,328000,81920
0.309200,264941.785252,324000,81920
0.304800,268766.404199,320000,81920
0.296400,276383.265857,308000,81920
0.296000,276756.756757,308000,81920
0.295200,277506.775068,304000,81920
0.294000,278639.455782,304000,81920
0.294800,277883.310719,304000,81920
0.294800,277883.310719,300000,81920
