n_pkt,thput
5,4923076
5,2370370
5,2064516
5,2064516
25,2543720
25,1930036
25,1729729
25,1731601
50,2490272
50,2389843
50,2728047
50,2421280
100,2474864
100,2386723
100,2606924
100,2350780
200,2330503
200,2107212
200,2089966
200,1996334
400,1299636
400,1287200
400,1279512
400,1268960
800,1073219
800,1052976
800,1048741
800,1059733
5,5818181
5,3555555
5,8000000
5,6400000
25,4232804
25,2680067
25,2572347
25,2450229
50,2083333
50,1726463
50,1806378
50,1774327
100,2407146
100,2379182
100,2721377
100,2306721
200,2080624
200,2046281
200,2026639
200,1982229
400,1353897
400,1276099
400,1311303
400,1287366
800,1076638
800,1051765
800,1067208
800,1049474
5,4000000
5,2666666
5,3764705
5,3555555
25,3187250
25,2484472
25,2476780
25,2576489
50,3305785
50,2440884
50,2378298
50,2278390
100,2365770
100,2326215
100,2427460
100,2282453
200,2038906
200,2026438
200,2131335
200,1974927
400,1609259
400,1579479
400,1562065
400,1544850
800,1743212
800,1720919
800,1681515
5,6400000
5,9142857
5,9142857
5,5333333
25,2133333
25,1742919
25,1716738
25,1960784
50,2781399
50,2009419
50,1845444
50,1766004
100,2578565
100,2475103
100,2403755
100,2274140
200,2161021
200,2035299
200,2055812
200,1983343
400,1319783
400,1244260
400,1266970
400,1275285
800,1016056
800,1194413
800,1166623
800,1172601
5,3368421
5,2155789
5,2285714
25,1627670
25,1523809
25,1486988
25,1975308
50,1775312
50,1589667
50,1642288
50,1548137
100,1692450
100,1557367
100,1588976
100,1542633
200,1495348
200,1398353
200,1410157
200,1422755
400,1144070
400,1130227
400,1107757
400,1103727
800,817477
800,808052
800,810285
800,812567
