n_pkt,thput
5,516129
5,196923
5,147465
5,125490
5,101910
5,74505
5,44168
5,39263
5,49420
5,55267
5,53200
5,51948
5,50314
5,49042
5,50000
5,592592
5,307692
5,256000
5,231884
5,222996
5,533333
5,279475
5,217687
5,194528
5,180790
5,169312
5,320000
5,178770
5,118518
5,85676
5,66528
5,53962
5,52330
5,45779
5,60263
5,58181
5,56338
5,68012
5,66115
5,64516
5,61597
5,59149
5,57142
5,55749
5,52631
5,51200
5,50673
5,566371
5,191616
5,138528
5,119626
5,136752
5,615384
5,340425
5,335078
5,165803
5,118959
5,83769
5,67439
5,54794
5,42895
5,48854
5,198142
5,124513
5,88888
5,54145
5,45261
5,51240
5,51240
5,52502
5,50874
5,50713
5,383233
5,210526
5,110726
5,86369
5,74245
5,72398
5,69640
5,73310
5,69945
5,67085
5,64581
5,78335
5,75294
5,74245
5,71032
5,67015
5,69339
5,914285
5,376470
5,309178
5,467153
5,438356
5,115523
5,73903
5,43567
5,40353
5,36342
5,49344
5,49079
5,345945
5,281938
5,130879
5,99071
5,66736
5,53646
5,43865
5,37122
5,51405
5,59369
5,56537
5,61068
5,60606
5,357541
5,158808
5,101587
5,73647
5,59424
5,50235
5,43126
5,49921
5,48265
5,49805
5,412903
5,92219
5,59040
5,40276
5,155339
5,109965
5,91038
5,51364
5,40429
5,50632
5,250980
5,203174
5,174863
5,138228
5,127236
5,592592
5,342245
5,177285
5,102728
5,68303
5,51948
5,40531
5,107023
5,88888
5,83769
5,74332
5,54560
5,50552
5,50078
5,48120
5,46477
5,429530
5,224561
5,172506
5,82051
5,36384
5,27550
5,112084
5,91168
5,82794
5,44198
5,34557
5,61127
5,156097
5,90014
5,81321
5,46477
5,36697
5,72234
5,57399
5,53826
5,48669
5,38834
5,49306
5,55411
5,53244
