rtt,thput,total_time,payload_size
0.014400,5688888.888889,24000,81920
0.034800,2354022.988506,60000,81920
0.025600,3200000.000000,28000,81920
0.022000,3723636.363636,32000,81920
0.019199,4266888.900464,55999,81920
0.044000,1861818.181818,56000,81920
0.030000,2730666.666667,36000,81920
0.064800,1264197.530864,72000,81920
0.034400,2381395.348837,104000,81920
0.146000,561095.890411,268000,81920
0.144400,567313.019391,252000,81920
0.305200,268414.154653,420000,81920
0.303200,270184.696570,556000,81920
0.475600,172245.584525,612000,81920
0.390800,209621.289662,620000,81920
0.472400,173412.362405,624000,81920
0.516000,158759.689922,628000,81920
0.551200,148621.190131,632000,81920
0.578800,141534.208708,628000,81920
0.586000,139795.221843,632000,81920
0.596800,137265.415550,636000,81920
0.592800,138191.632928,632000,81920
0.610400,134207.077326,636000,81920
0.627600,130528.999363,652000,81920
0.612800,133681.462141,636000,81920
0.611600,133943.754088,636000,81920
0.607200,134914.361001,628000,81920
0.624000,131282.051282,648000,81920
0.613600,133507.170795,636000,81920
0.599200,136715.620828,624000,81920
0.597600,137081.659973,620000,81920
0.586800,139604.635310,608000,81920
0.600800,136351.531292,624000,81920
0.605600,135270.805812,628000,81920
0.605200,135360.211500,628000,81920
0.608000,134736.842105,628000,81920
0.610000,134295.081967,632000,81920
0.611200,134031.413613,632000,81920
0.616000,132987.012987,636000,81920
0.597600,137081.659973,620000,81920
0.602800,135899.137359,624000,81920
0.600000,136533.333333,620000,81920
0.600800,136351.531292,624000,81920
0.602400,135989.375830,624000,81920
0.603600,135719.019218,624000,81920
0.581200,140949.759119,604000,81920
0.602800,135899.137359,624000,81920
0.606800,135003.295979,628000,81920
0.600800,136351.531292,628000,81920
0.607200,134914.361001,632000,81920
0.589200,139035.980991,616000,81920
0.593600,138005.390836,616000,81920
0.579200,141436.464088,604000,81920
0.585200,139986.329460,608000,81920
0.591200,138565.629229,612000,81920
0.576800,142024.965326,596000,81920
0.582000,140756.013746,600000,81920
0.586000,139795.221843,604000,81920
0.578000,141730.103806,596000,81920
0.580000,141241.379310,600000,81920
0.585600,139890.710383,604000,81920
0.590000,138847.457627,608000,81920
0.586000,139795.221843,604000,81920
0.585600,139890.710383,604000,81920
0.582000,140756.013746,600000,81920
0.562000,145765.124555,580000,81920
0.562000,145765.124555,580000,81920
0.554400,147763.347763,572000,81920
0.550800,148729.121278,568000,81920
0.547200,149707.602339,564000,81920
0.527200,155386.949924,544000,81920
0.519200,157781.201849,536000,81920
0.514800,159129.759130,528000,81920
0.498400,164365.971108,512000,81920
0.498400,164365.971108,512000,81920
0.461200,177623.590633,472000,81920
0.464400,176399.655469,476000,81920
0.459200,178397.212544,468000,81920
0.462000,177316.017316,468000,81920
0.452000,181238.938053,456000,81920
0.025200,3250793.650794,76000,81920
0.061600,1329870.129870,72000,81920
0.019200,4266666.666667,36000,81920
0.028000,2925714.285714,92000,81920
0.034000,2409411.764706,40000,81920
0.049200,1665040.650407,64000,81920
0.174000,470804.597701,324000,81920
0.252800,324050.632911,476000,81920
0.263600,310773.899848,532000,81920
0.312800,261892.583120,620000,81920
0.370800,220927.723840,692000,81920
0.446800,183348.254252,700000,81920
0.489200,167457.072772,700000,81920
0.542000,151143.911439,708000,81920
0.613600,133507.170795,708000,81920
0.652400,125567.136726,724000,81920
0.648400,126341.764343,716000,81920
0.674800,121398.933017,720000,81920
0.684000,119766.081871,720000,81920
0.689600,118793.503480,724000,81920
0.686800,119277.810134,716000,81920
0.658400,124422.843256,688000,81920
0.685200,119556.333917,712000,81920
0.680800,120329.024677,708000,81920
0.693600,118108.419839,720000,81920
0.684400,119696.084161,712000,81920
0.693600,118108.419839,720000,81920
0.690400,118655.851680,716000,81920
0.690000,118724.637681,716000,81920
0.689600,118793.503480,716000,81920
0.694400,117972.350230,720000,81920
0.696800,117566.016073,720000,81920
0.690400,118655.851680,716000,81920
0.687200,119208.381839,712000,81920
0.690800,118587.145339,716000,81920
0.676800,121040.189125,700000,81920
0.682400,120046.893318,704000,81920
0.675600,121255.180580,696000,81920
0.668800,122488.038278,688000,81920
0.669600,122341.696535,688000,81920
0.670000,122268.656716,688000,81920
0.675200,121327.014218,692000,81920
0.682400,120046.893318,704000,81920
0.636000,128805.031447,660000,81920
0.661200,123895.946763,688000,81920
0.657600,124574.209246,688000,81920
0.652800,125490.196078,680000,81920
0.712000,115056.179775,740000,81920
0.585600,139890.710383,616000,81920
0.651200,125798.525799,680000,81920
0.654000,125259.938838,680000,81920
0.655600,124954.240390,680000,81920
0.658000,124498.480243,680000,81920
0.659600,124196.482717,684000,81920
0.658000,124498.480243,680000,81920
0.660000,124121.212121,680000,81920
0.665200,123150.932051,684000,81920
0.665600,123076.923077,684000,81920
0.670000,122268.656716,688000,81920
0.668000,122634.730539,688000,81920
0.658000,124498.480243,676000,81920
0.655600,124954.240390,672000,81920
0.665600,123076.923077,680000,81920
0.641600,127680.798005,656000,81920
0.648000,126419.753086,664000,81920
0.641600,127680.798005,656000,81920
0.642000,127601.246106,660000,81920
0.637600,128481.806775,652000,81920
0.637600,128481.806775,652000,81920
0.638400,128320.802005,656000,81920
0.637200,128562.460766,652000,81920
0.640800,127840.199750,656000,81920
0.624800,131113.956466,640000,81920
0.624400,131197.950032,640000,81920
0.624000,131282.051282,636000,81920
0.611200,134031.413613,624000,81920
0.610400,134207.077326,620000,81920
0.600800,136351.531292,608000,81920
0.604000,135629.139073,612000,81920
0.594400,137819.650067,600000,81920
0.068800,1190697.674419,164000,81920
0.080000,1024000.000000,144000,81920
0.120400,680398.671096,144000,81920
0.116000,706206.896552,160000,81920
0.123200,664935.064935,176000,81920
0.167200,489952.153110,232000,81920
0.198000,413737.373737,244000,81920
0.227600,359929.701230,244000,81920
0.298000,274899.328859,348000,81920
0.236000,347118.644068,268000,81920
0.250000,327680.000000,280000,81920
0.249200,328731.942215,276000,81920
0.271600,301620.029455,296000,81920
0.295200,277506.775068,384000,81920
0.330400,247941.888620,408000,81920
0.330000,248242.424242,436000,81920
0.352400,232463.110102,468000,81920
0.482400,169817.578773,576000,81920
0.504400,162410.785091,576000,81920
0.518400,158024.691358,572000,81920
0.541200,151367.331855,572000,81920
