n_pkt,dropped
5,0.00
5,0.00
5,0.00
5,0.00
25,0.00
25,0.00
25,0.00
25,0.00
50,0.00
50,0.04
50,0.00
50,0.00
100,0.00
100,0.00
100,0.00
100,0.00
200,0.00
200,0.00
200,0.00
200,0.00
400,0.00
400,0.00
400,0.00
400,0.00
800,0.00
800,0.00
800,0.00
800,0.00
1600,0.00
1600,0.00
1600,0.00
1600,0.00
5,0.00
5,0.00
5,0.60
5,0.00
25,0.00
25,0.00
25,0.00
25,0.00
50,0.00
50,0.00
50,0.00
50,0.00
100,0.00
100,0.00
100,0.00
200,0.00
200,0.00
200,0.00
200,0.09
400,0.00
400,0.00
400,0.00
400,0.00
800,0.00
800,0.00
800,0.00
800,0.00
1600,0.00
1600,0.00
1600,0.00
1600,0.00
5,0.00
5,0.00
5,0.00
5,0.00
25,0.00
25,0.00
25,0.00
25,0.00
50,0.00
50,0.00
50,0.00
50,0.00
100,1.00
100,0.00
100,0.00
100,0.00
200,0.00
200,0.00
200,0.00
200,0.00
400,0.00
400,0.00
400,0.00
400,0.00
800,0.85
800,0.00
800,0.00
800,0.00
1600,0.00
1600,0.00
1600,0.00
1600,0.00
5,0.00
5,0.00
5,0.00
5,0.00
25,0.00
25,0.00
25,0.00
25,0.00
50,0.00
50,0.00
50,0.00
50,0.00
100,0.00
100,0.00
100,0.00
100,0.00
200,0.00
200,0.00
200,0.00
200,0.00
400,0.00
400,0.00
400,0.00
400,0.00
800,0.00
800,0.00
800,0.00
800,0.00
1600,0.00
1600,0.00
1600,0.00
1600,0.00
5,0.00
5,0.00
5,0.00
5,0.00
25,0.00
25,0.00
25,0.00
25,0.00
50,0.00
50,0.00
50,0.00
50,0.00
100,0.00
100,0.00
100,0.00
100,0.00
200,0.10
200,0.00
200,0.00
200,0.00
400,0.00
400,0.00
400,0.00
400,0.00
800,0.00
800,0.00
800,0.00
800,0.00
1600,0.00
1600,0.00
1600,0.00
1600,0.00
