n_pkt,thput
5,177777
25,586080
50,1235521
100,1415929
200,1656957
400,1831023
800,1883304
5,457142
25,661157
50,1056105
100,1590062
200,2212140
400,2282148
800,2021193
5,533333
25,503144
50,1306122
100,1387533
200,1616671
400,2543625
800,2257153
5,457142
25,637450
50,1200750
100,1625396
200,1950476
400,1851969
800,2430067
5,304761
25,663900
50,1030595
100,1707805
200,1616671
400,1740534
800,2600758
5,256000
25,634920
50,1149012
100,1454545
200,1726812
400,2668403
800,2186720
5,914285
25,625000
50,1159420
100,1687541
200,2482424
400,2232274
800,1900850
5,1280000
25,935672
50,1155234
100,1519287
200,2055399
400,2257868
800,2274986
5,1066666
25,535117
50,1090289
100,1828571
200,2194128
400,2622782
800,2029707
5,336842
25,606060
50,1081081
100,1827266
200,2394761
400,1890257
800,2197837
