n_pkt,thput
5,6400000
5,4571428
5,4571428
25,2797202
25,2119205
25,1985111
50,2369492
50,1968019
50,1749589
100,2277782
100,2150356
100,2126952
200,1954086
200,2014716
200,1977864
400,1526137
400,1556656
400,1531106
800,1315438
800,1299185
800,1301882
5,4571428
5,2461538
5,2206896
25,2725724
25,2022756
25,2295552
50,1890135
50,1740549
50,1688208
100,2112559
100,1972265
100,1927275
200,2057340
200,1958346
200,1991520
400,1587652
400,1566641
400,1571359
800,1240928
800,1225930
800,1222782
5,3555555
5,1882352
5,1828571
25,2136181
25,1684210
25,1577909
50,3149606
50,2155607
50,2211472
100,2164904
100,2095783
100,2126775
200,2082613
200,1956924
200,2029853
400,1497158
400,1474197
400,1451617
800,1335257
800,1327671
800,1321717
5,5333333
5,3047619
5,6400000
25,2857142
25,2033036
25,2141900
50,2219909
50,2026599
50,2003757
100,1862089
100,1781365
100,1753664
200,2079610
200,1981117
200,1928146
400,1802190
400,1761228
400,1743023
800,1297888
800,1287251
800,1283878
5,3368421
5,6400000
5,3368421
25,4336043
25,2298850
25,2388059
50,2738553
50,2275151
50,2192531
100,2242859
100,2107863
100,2174282
200,2061108
200,2004109
200,2017336
400,1547868
400,1505572
400,1506486
800,1297082
800,1291186
800,1302584
