rtt,thput,total_time,payload_size
0.054400,1505882.352941,88000,81920
0.070000,1170285.714286,88000,81920
0.069200,1183815.028902,80000,81920
0.078000,1050256.410256,84000,81920
0.076000,1077894.736842,84000,81920
0.036000,2275555.555556,36000,81920
0.060800,1347368.421053,64000,81920
0.023200,3531034.482759,32000,81920
0.025600,3200000.000000,36000,81920
0.016400,4995121.951220,24000,81920
0.024400,3357377.049180,40000,81920
0.028800,2844444.444444,44000,81920
0.040000,2048000.000000,40000,81920
0.050000,1638400.000000,72000,81920
0.040800,2007843.137255,44000,81920
0.040400,2027722.772277,48000,81920
0.044400,1845045.045045,48000,81920
0.030800,2659740.259740,32000,81920
0.019200,4266666.666667,24000,81920
0.026000,3150769.230769,52000,81920
0.007200,11377777.777778,12000,81920
0.026000,3150769.230769,52000,81920
0.043200,1896296.296296,52000,81920
0.048400,1692561.983471,84000,81920
0.017600,4654545.454545,68000,81920
0.030000,2730666.666667,36000,81920
0.034800,2354022.988506,52000,81920
0.055200,1484057.971014,72000,81920
0.032800,2497560.975610,48000,81920
0.041600,1969230.769231,52000,81920
0.051600,1587596.899225,72000,81920
0.065200,1256441.717791,80000,81920
0.053600,1528358.208955,64000,81920
0.049600,1651612.903226,52000,81920
0.042800,1914018.691589,44000,81920
0.042000,1950476.190476,68000,81920
0.049600,1651612.903226,76000,81920
0.054000,1517037.037037,76000,81920
0.056800,1442253.521127,76000,81920
0.061200,1338562.091503,72000,81920
0.028800,2844444.444444,76000,81920
0.038800,2111340.206186,96000,81920
0.046400,1765517.241379,64000,81920
0.068000,1204705.882353,100000,81920
0.087600,935159.817352,112000,81920
0.084800,966037.735849,116000,81920
0.092800,882758.620690,104000,81920
0.102800,796887.159533,108000,81920
0.099200,825806.451613,112000,81920
0.090400,906194.690265,96000,81920
0.088000,930909.090909,92000,81920
0.083200,984615.384615,92000,81920
0.081600,1003921.568627,92000,81920
0.078400,1044897.959184,80000,81920
0.068000,1204705.882353,68000,81920
0.078400,1044897.959184,84000,81920
0.048800,1678688.524590,56000,81920
0.047200,1735593.220339,52000,81920
0.042400,1932075.471698,44000,81920
0.036400,2250549.450549,56000,81920
0.054000,1517037.037037,132000,81920
0.091600,894323.144105,136000,81920
0.098000,835918.367347,148000,81920
0.100400,815936.254980,148000,81920
0.124800,656410.256410,172000,81920
0.126000,650158.730159,168000,81920
0.141600,578531.073446,180000,81920
0.142400,575280.898876,172000,81920
0.147600,555013.550136,160000,81920
0.156000,525128.205128,168000,81920
0.160400,510723.192020,164000,81920
0.152800,536125.654450,160000,81920
0.142800,573669.467787,148000,81920
0.137600,595348.837209,144000,81920
0.116800,701369.863014,120000,81920
0.094800,864135.021097,100000,81920
0.093200,878969.957082,100000,81920
0.089600,914285.714286,96000,81920
0.100800,812698.412698,112000,81920
0.099200,825806.451613,104000,81920
