rtt,thput,total_time,payload_size
0.160800,5094527.363184,256000,819200
0.157600,5197969.543147,280000,819200
0.215600,3799628.942486,296000,819200
0.293600,2790190.735695,316000,819200
0.284000,2884507.042254,332000,819200
0.257200,3185069.984448,364000,819200
0.311600,2629011.553273,356000,819200
0.386400,2120082.815735,412000,819200
0.302800,2705416.116248,428000,819200
0.424000,1932075.471698,424000,819200
0.385600,2124481.327801,400000,819200
0.388400,2109165.808445,404000,819200
0.388400,2109165.808445,436000,819200
0.408000,2007843.137255,440000,819200
0.383200,2137787.056367,400000,819200
0.386800,2117890.382627,404000,819200
0.391200,2094069.529652,412000,819200
0.391200,2094069.529652,412000,819200
0.392400,2087665.647299,412000,819200
0.435600,1880624.426079,456000,819200
0.394400,2077079.107505,416000,819200
0.547200,1497076.023392,568000,819200
0.398000,2058291.457286,416000,819200
0.385600,2124481.327801,400000,819200
0.389200,2104830.421377,404000,819200
0.384400,2131113.423517,396000,819200
0.383600,2135557.872784,392000,819200
0.350800,2335233.751425,356000,819200
0.286000,2864335.664336,288000,819200
0.272800,3002932.551320,280000,819200
0.265200,3088989.441931,268000,819200
0.250800,3266347.687400,252000,819200
0.230800,3549393.414211,232000,819200
0.518800,1579028.527371,548000,819200
0.211200,3878787.878788,212000,819200
0.211200,3878787.878788,220000,819200
0.207200,3953667.953668,220000,819200
0.224000,3657142.857143,236000,819200
0.212800,3849624.060150,224000,819200
0.221200,3703435.804702,232000,819200
0.210400,3893536.121673,220000,819200
0.208800,3923371.647510,220000,819200
0.208000,3938461.538462,216000,819200
0.206800,3961315.280464,216000,819200
0.194400,4213991.769547,200000,819200
0.192400,4257796.257796,196000,819200
0.036400,22505494.505495,56000,819200
0.056000,14628571.428571,100000,819200
0.056000,14628571.428571,104000,819200
0.050800,16125984.251969,76000,819200
0.103200,7937984.496124,112000,819200
0.088800,9225225.225225,128000,819200
0.071200,11505617.977528,104000,819200
0.059600,13744966.442953,84000,819200
0.101600,8062992.125984,144000,819200
0.124000,6606451.612903,292000,819200
0.240000,3413333.333333,280000,819200
0.242800,3373970.345964,272000,819200
0.152400,5375328.083990,372000,819200
0.282400,2900849.858357,332000,819200
0.164800,4970873.786408,364000,819200
0.356000,2301123.595506,356000,819200
0.265600,3084337.349398,284000,819200
0.348000,2354022.988506,348000,819200
0.426000,1923004.694836,428000,819200
0.191600,4275574.112735,420000,819200
0.252400,3245641.838352,308000,819200
0.248800,3292604.501608,260000,819200
0.286800,2856345.885635,340000,819200
0.269200,3043090.638930,292000,819200
0.228000,3592982.456140,232000,819200
0.298000,2748993.288591,320000,819200
0.275200,2976744.186047,292000,819200
0.271600,3016200.294551,284000,819200
0.228400,3586690.017513,240000,819200
0.274000,2989781.021898,300000,819200
0.319600,2563204.005006,328000,819200
0.253200,3235387.045814,284000,819200
0.234800,3488926.746167,252000,819200
0.234000,3500854.700855,252000,819200
0.238800,3430485.762144,256000,819200
0.243600,3362889.983580,260000,819200
0.246400,3324675.324675,280000,819200
0.239600,3419031.719533,256000,819200
0.235600,3477079.796265,252000,819200
0.235600,3477079.796265,252000,819200
0.239200,3424749.163880,256000,819200
0.235600,3477079.796265,252000,819200
0.230000,3561739.130435,248000,819200
0.222800,3676840.215440,236000,819200
0.231200,3543252.595156,244000,819200
0.234000,3500854.700855,248000,819200
0.234000,3500854.700855,244000,819200
0.232800,3518900.343643,240000,819200
0.227600,3599297.012302,236000,819200
0.226000,3624778.761062,232000,819200
