n_pkt,thput
5,172972
5,426666
5,88888
5,77108
5,100000
5,96969
5,71111
5,69565
5,57142
5,120754
5,60952
5,60377
5,52459
5,112280
5,114285
5,106666
5,74418
5,41025
5,77108
5,80000
5,73563
5,77108
5,71111
5,92753
5,103225
5,101587
5,103225
5,79012
5,75294
5,118518
5,52459
5,60952
5,125490
5,83116
5,148837
5,110344
5,82051
5,86486
5,108474
5,139130
5,108474
5,133333
5,237037
5,85333
5,81012
5,96969
5,110344
5,116363
5,108474
5,125490
5,104918
5,220689
5,182857
5,182857
5,96969
5,114285
5,112280
5,98461
5,177777
5,120754
5,91428
5,68817
5,78048
5,118518
5,79012
5,79012
5,114285
5,78048
5,59813
5,84210
5,62135
5,84210
5,77108
5,75294
5,77108
5,79012
5,76190
5,78048
5,85333
5,96969
5,85333
5,103225
5,86486
5,71111
5,101587
5,91428
5,88888
5,92753
5,108474
5,96969
5,95522
5,112280
5,88888
5,110344
5,87671
5,68084
5,92753
5,94117
5,128000
5,128000
5,123076
5,133333
5,133333
5,148837
5,136170
5,193939
5,206451
5,177777
5,85333
5,112280
5,98461
5,96969
5,112280
5,103225
5,104918
5,114285
5,116363
5,108474
5,118518
5,136170
5,156097
5,148837
5,220689
5,228571
5,148837
5,160000
5,125490
5,164102
5,206451
5,213333
5,246153
5,177777
5,206451
5,213333
5,206451
5,139130
5,228571
5,193939
5,266666
5,246153
5,304761
5,193939
5,246153
5,156097
5,246153
5,320000
5,492307
5,304761
5,355555
5,400000
5,71910
5,711111
5,581818
5,400000
5,123076
5,376470
5,100000
5,101587
5,246153
5,101587
5,92753
5,426666
5,62135
5,58181
5,70329
5,116363
5,160000
5,71910
5,128000
5,65979
5,75294
5,65979
5,130612
5,65979
5,168421
5,128000
5,91428
5,85333
5,108474
5,106666
5,304761
5,139130
5,148837
5,116363
5,148837
5,492307
5,90140
5,426666
5,116363
5,172972
5,139130
5,581818
5,142222
5,220689
5,139130
5,145454
5,188235
5,123076
5,145454
5,148837
5,148837
5,123076
5,116363
5,145454
5,148837
5,168421
5,118518
5,148837
5,278260
5,213333
5,156097
5,182857
5,94117
5,156097
5,172972
5,172972
5,168421
5,188235
5,148837
5,172972
5,172972
5,160000
5,139130
5,148837
5,128000
5,200000
5,136170
5,290909
5,133333
5,156097
5,142222
5,220689
5,172972
5,152380
5,164102
5,168421
5,152380
5,164102
5,139130
5,60377
5,116363
5,64646
5,246153
5,91428
5,67368
5,492307
5,79012
5,266666
5,355555
5,75294
5,76190
5,70329
5,76190
5,78048
5,77108
5,56140
5,81012
5,90140
5,85333
5,85333
5,86486
5,87671
5,90140
5,82051
5,87671
5,81012
5,116363
5,108474
5,112280
5,120754
5,130612
