n_pkt,thput
5,6400000
5,3200000
25,3440860
25,2909090
50,3975155
50,3047619
100,2823269
100,2205945
200,2022716
200,1910447
400,2348118
400,2287277
800,1741626
800,1776077
5,3657142
5,1969230
25,2154882
25,2112211
50,2746781
50,2471042
100,2741633
100,2694736
200,2207967
200,1918591
400,1764965
400,1695118
800,1795639
800,1762563
5,2327272
5,1706666
25,2370370
25,2112211
50,2086389
50,2417374
100,2772813
100,2629011
200,2672756
200,2607422
400,2732533
400,2392139
800,1693848
800,1666908
5,2327272
5,1347368
25,2746781
25,1813031
50,3212045
50,2514734
100,2620936
100,2685549
200,2818025
200,2611079
400,1769712
400,1710944
800,1530253
800,1480544
5,6400000
5,2560000
25,2461538
25,2206896
50,2527147
50,2779587
100,2801641
100,3042186
200,2654396
200,2606095
400,2374836
400,2266270
800,1474239
800,1500445
