n_pkt,thput
5,9142857
5,3555555
25,6837606
25,4494382
50,10884353
50,9609609
100,9272002
100,9534450
200,9211118
200,8852005
400,7838934
400,7642931
800,5630375
800,5433315
5,6400000
5,3200000
25,6299212
25,8421052
50,9907120
50,8625336
100,10733752
100,12617052
200,11014305
200,9546005
400,7923090
400,7500183
800,5383205
800,5117521
5,2560000
5,6400000
25,7407407
25,5839416
50,9155937
50,6618407
100,10086682
100,11398040
200,9378148
200,8928415
400,7584482
400,7349194
800,5189046
800,4998855
5,10666666
5,3555555
25,14545454
25,7920792
50,9208633
50,8421052
100,16655823
100,11188811
200,9045936
200,8740184
400,5783186
400,5228624
800,5445016
800,5399366
5,4571428
5,3555555
25,10596026
25,9756097
50,13559322
50,17728531
100,15112160
100,13793103
200,9184680
200,8837490
400,7408881
400,7617914
800,5921364
800,5537267
