n_pkt,thput
5,2844444
5,3657142
5,1024000
25,1464530
25,1316872
25,1347368
50,2539682
50,2697576
50,2277580
100,2398688
100,2477019
100,2278593
200,2267744
200,2166966
200,2023515
400,1489589
400,1514372
400,1456549
800,1028068
800,979738
800,944098
5,6400000
5,4266666
5,825806
25,4183006
25,3902439
25,3386243
50,1832498
50,1541240
50,1546827
100,2911572
100,2330981
100,2368725
200,1981424
200,1946305
200,1971126
400,1570808
400,1507517
400,1305789
800,967261
800,935565
800,952583
5,2844444
5,853333
25,2119205
25,2038216
50,3615819
50,2847608
50,2480620
100,2300606
100,2472832
100,2752688
200,2286224
200,2082253
200,1993866
400,1595730
400,1500146
400,1487304
800,959204
800,947438
800,954974
5,3200000
5,1706666
5,1347368
25,3076923
25,2147651
25,2057877
50,2318840
50,2269503
50,2167654
100,2364350
100,2508574
100,2229479
200,2097823
200,1983823
200,1981040
400,1508030
400,1586367
400,1525142
800,958659
800,929712
800,940989
5,4266666
5,4266666
5,3657142
25,3282051
25,1963190
25,2990654
50,1490972
50,1497076
50,1644187
100,2699709
100,2407712
100,2350240
200,2126135
200,2097071
200,1956251
400,1150683
400,1223152
400,1179103
800,1012594
800,974088
800,961168
