n_pkt,thput
5,3200000
5,1969230
5,1024000
25,2285714
25,1702127
25,1860465
50,4688644
50,3152709
50,3011764
100,4812030
100,3716878
200,3562668
200,2544415
200,2436789
400,1509809
400,1616384
400,1485161
800,1080487
800,1052085
800,1059448
5,6400000
5,3200000
5,1505882
25,4076433
25,2580645
25,2723404
50,1954198
50,2782608
50,1897702
100,2900028
100,2733582
100,2593061
200,2612911
200,2439256
200,2303323
400,1718841
400,1771683
400,1712285
800,1083203
800,1065094
800,1050465
5,6400000
5,1969230
25,2112211
25,1951219
25,1684210
50,3080625
50,2959537
50,2542204
100,3245641
100,2888575
100,2686958
200,2893881
200,2567542
200,2316349
400,1738705
400,1722963
400,1786208
800,1152246
800,762421
800,1106462
5,5120000
5,882758
5,1280000
25,3422459
25,2018927
25,2962962
50,2819383
50,2703273
50,3220125
100,2951859
100,2407146
100,2506118
200,2243400
200,2427115
200,2046158
400,1325737
400,1409170
400,1257348
800,1031686
800,980564
800,995759
5,6400000
5,3657142
5,8533333
25,2519685
25,2500000
25,2147651
50,2539682
50,2737967
50,2348623
100,2643262
100,2322522
100,2426540
200,2013964
200,1993478
200,1936459
400,1609683
400,1562479
400,1548084
800,432005
800,942904
800,823513
