n_pkt,thput
5,3200000
5,256000
25,812182
25,487804
50,1012658
50,846560
100,1526535
100,1309462
200,1165357
200,1094367
400,911457
400,884703
800,502971
800,541669
5,1280000
5,256000
25,1269841
25,653061
50,1604010
50,1484918
100,1184636
100,1109185
200,1174446
200,1062130
400,921609
400,829687
800,601649
800,622665
5,640000
5,193939
25,1073825
25,613026
50,1488372
50,1474654
100,1173773
100,1076082
200,1154323
200,1061249
400,937857
400,878856
800,622783
800,578218
5,581818
5,355555
25,924855
25,565371
50,1101549
50,786240
100,1187384
100,1170553
200,1056868
200,1159551
400,869971
400,894303
800,597762
800,613013
5,914285
5,355555
25,1103448
25,549828
50,1679790
50,920863
100,1060480
100,1254901
200,712744
200,760433
400,872900
400,878423
800,594411
800,598325
5,581818
5,426666
25,581818
25,615384
50,796019
50,1012658
100,1180811
100,1154192
200,1061579
200,1114012
400,920263
400,884264
800,595610
800,612108
5,1280000
5,213333
25,1666666
25,672268
50,1070234
50,777642
100,1237911
100,1462021
200,762642
200,717287
400,1010734
400,898107
800,601532
800,651484
5,800000
5,355555
25,640000
25,512820
50,911680
50,770156
100,1482339
100,1205273
200,1307122
200,1114254
400,853760
400,927263
800,610871
800,605183
5,1066666
5,426666
25,1269841
25,557491
50,829015
50,958083
100,1357370
100,1423012
200,1157454
200,1072475
400,669029
400,625381
800,643400
800,612990
5,914285
5,457142
25,666666
25,509554
50,1553398
50,1075630
100,1112076
100,1110147
200,1065889
200,1192500
400,847296
400,877238
800,488905
800,499157
5,1280000
5,246153
25,1066666
25,613026
50,1254901
50,1802816
100,1623335
100,1293582
200,1426183
200,1151856
400,949290
400,888522
800,618714
800,636234
5,800000
5,426666
25,1553398
25,1553398
50,993788
50,812182
100,886119
100,794784
200,1035912
200,1071017
400,877708
400,873198
800,648049
800,613396
5,3200000
5,246153
25,1073825
25,1269841
50,838794
50,1149012
100,1212121
100,1153153
200,1164960
200,1081880
400,894831
400,985539
800,639532
800,597419
5,800000
5,376470
25,1538461
25,2025316
50,1322314
50,1114982
100,1614123
100,1336116
200,1182038
200,1070793
400,932519
400,877332
800,606302
800,585753
5,1066666
5,376470
25,1159420
25,1066666
50,1282565
50,1777777
100,1360255
100,1161524
200,1040016
200,1116684
400,938846
400,900952
800,609179
800,616472
5,426666
5,376470
25,758293
25,487804
50,842105
50,1257367
100,1260462
100,1145926
200,1219337
200,1131992
400,913836
400,872250
800,694988
800,620225
5,3200000
5,256000
25,689655
25,1240310
50,817369
50,1167883
100,1926260
100,1560975
200,1528358
200,1180811
400,916720
400,867025
800,665707
800,631338
5,355555
5,336842
25,1280000
25,1415929
50,1367521
50,877914
100,1306789
100,1154192
200,743699
200,718193
400,887559
400,888214
800,617325
800,646097
5,1280000
5,228571
25,930232
25,569395
50,1103448
50,831168
100,1183541
100,1105354
200,1031010
200,1217163
400,1098977
400,879649
800,656299
800,623518
5,1280000
5,336842
25,924855
25,544217
50,1330561
50,1645244
100,1904761
100,1491841
200,1066000
200,1062571
400,871192
400,870581
800,602652
800,622885
