n_pkt,thput
5,914285
5,640000
5,426666
5,492307
25,869565
25,765550
25,837696
25,567375
50,625610
50,549356
50,516545
50,519902
100,546658
100,354865
100,348821
100,335034
200,31658
200,468950
200,480255
200,475372
400,261044
400,251189
400,249403
400,241691
800,142719
800,140828
800,137006
800,134576
5,581818
5,1066666
5,800000
5,492307
25,546075
25,480480
25,458452
25,402010
50,517380
50,473372
50,462427
50,441683
100,476545
100,427236
100,409403
100,400375
200,343739
200,356459
200,367710
200,353749
400,259184
400,248570
400,232718
400,250737
800,199989
800,191961
800,190742
5,1066666
5,581818
5,914285
5,800000
25,557491
25,398009
25,371229
25,395061
50,402010
50,359752
50,332813
50,308433
100,393725
100,347401
100,327994
100,317342
200,295970
200,273190
200,264033
200,275150
400,198940
400,201168
400,192848
400,190171
800,123270
800,122255
800,121594
800,118689
5,1066666
5,290909
5,237037
5,172972
25,451977
25,411311
25,353982
25,352422
50,475129
50,359348
50,347259
50,345385
100,362863
100,332338
100,314650
100,304798
200,245994
200,225376
200,217969
200,230885
400,205747
400,198582
400,191353
400,193335
800,112625
800,119794
800,119125
800,120833
5,457142
5,290909
5,246153
25,462427
25,383693
25,359550
25,371229
50,488549
50,401757
50,207885
50,371445
100,342658
100,314110
100,308248
100,303821
200,192578
200,188745
200,189272
200,198096
400,194049
400,190922
400,189286
400,187622
800,119553
800,117884
800,118211
800,117031
5,800000
5,1280000
5,711111
5,711111
25,287769
25,255591
25,233576
25,232220
50,440165
50,380273
50,333854
50,326864
100,330834
100,318764
100,306366
100,304001
200,278472
200,255776
200,266112
200,261144
400,192856
400,188173
400,189055
400,190007
800,115945
800,108832
800,109838
800,108809
5,711111
5,711111
5,376470
5,320000
25,419947
25,341151
25,317460
25,290909
50,414239
50,342429
50,326031
50,323886
100,256102
100,241122
100,217650
100,212254
200,277341
200,257648
200,264455
200,257189
400,158364
400,160139
400,157748
400,156150
800,119485
800,118153
800,116485
800,115647
5,711111
5,355555
5,266666
5,278260
25,395061
25,344827
25,318725
25,305343
50,412637
50,269360
50,260056
50,247390
100,342841
100,317263
100,300712
100,295987
200,188982
200,187597
200,205895
200,198638
400,160949
400,156986
400,157477
400,155796
800,117117
800,114508
800,115352
800,114376
5,914285
5,457142
5,376470
5,336842
25,411311
25,363636
25,351648
25,308880
50,394088
50,326697
50,310679
50,329896
100,327826
100,309702
100,305744
100,292404
200,262187
200,265181
200,233832
200,278601
400,189843
400,193567
400,179560
400,187256
800,117441
800,113231
800,112229
800,113611
5,914285
5,320000
5,256000
5,182857
25,465116
25,451977
25,373831
25,402010
50,392879
50,332986
50,312347
50,309777
100,324214
100,286899
100,279171
100,272804
200,215105
200,256873
200,269828
200,262550
400,185214
400,180985
400,178520
400,177055
800,114603
800,112646
800,113049
800,113329
5,640000
5,581818
5,400000
5,336842
25,453257
25,350877
25,321285
25,310077
50,409731
50,379596
50,322743
50,314187
100,277266
100,247773
100,248906
100,237212
200,223132
200,181200
200,187381
200,184624
400,164742
400,158463
400,160925
400,159678
800,112909
800,111393
800,110766
800,109978
5,914285
5,711111
5,914285
5,336842
25,341151
25,257234
25,240601
25,228571
50,445062
50,372309
50,336664
50,313571
100,367552
100,305016
100,279262
100,272137
200,241788
200,249561
200,245363
200,224479
400,186012
400,181744
400,147063
400,177301
800,108336
800,108046
800,110071
800,108709
5,640000
5,492307
5,492307
5,336842
25,410256
25,301886
25,284191
25,268006
50,301176
50,270156
50,261865
50,268118
100,280578
100,267698
100,261865
100,258090
200,169879
200,163926
200,166647
200,172652
400,178788
400,170940
400,165353
400,168452
800,101916
800,100555
800,99705
800,101186
5,640000
5,711111
5,426666
5,320000
25,366972
25,301318
25,286225
25,279720
50,397022
50,281442
50,278745
50,272224
100,278988
100,269814
100,263076
100,258899
200,232478
200,223049
200,228148
200,222952
400,164290
400,162552
400,161357
400,160640
800,108360
800,104859
800,105595
800,106071
5,914285
5,914285
5,711111
5,711111
25,368663
25,263157
25,231884
25,226950
50,338266
50,299765
50,291173
50,268118
100,296330
100,268062
100,262806
100,258168
200,245699
200,219445
200,222913
200,221467
400,224281
400,226137
400,222348
800,100381
800,98520
800,97498
800,98283
5,711111
5,400000
5,278260
5,206451
25,426666
25,272108
25,248447
25,251968
50,250685
50,211151
50,205325
50,200250
100,272137
100,263917
100,253691
100,252639
200,249616
200,212735
200,222816
200,219992
400,172644
400,171241
400,165484
400,164005
800,102378
800,101162
800,100391
800,99874
5,800000
5,304761
5,290909
5,237037
25,435967
25,279232
25,281195
25,286225
50,225431
50,217687
50,202595
50,193295
100,266222
100,262483
100,254777
100,250611
200,165049
200,175474
200,160991
200,171645
400,135059
400,138426
400,134363
400,133220
800,107507
800,108889
800,106997
800,107705
5,640000
5,533333
5,266666
5,172972
25,424403
25,334728
25,319361
25,305927
50,380952
50,311284
50,304182
50,270384
100,316479
100,272079
100,266278
200,242315
200,227560
200,224571
200,222526
400,175656
400,171945
400,166352
400,169416
800,108315
800,104907
800,106813
800,106057
5,581818
5,581818
5,492307
5,640000
25,319361
25,274442
25,227272
25,227920
50,376914
50,304038
50,292638
50,283687
100,279171
100,271675
100,262214
100,256615
200,238039
200,216774
200,224842
200,222434
400,217750
400,207138
400,210163
800,109937
800,109446
800,108574
800,109016
5,711111
5,711111
5,800000
5,800000
25,503144
25,371229
25,300751
25,313725
50,324873
50,214046
50,209904
50,204800
100,303677
100,268569
100,262107
200,360995
200,324409
200,340493
400,173103
400,167437
400,168088
400,135770
800,104380
800,101269
800,102456
800,102860
